"z","y0","y1","mu0","mu1"
0,4.29672242765097,10.5547353580254,3.76572183590297,11.0311509529126
0,1.72489837164956,7.34193050695691,0.813103116809768,7.56375415893607
0,0.108503591389735,4.97810873927174,-0.369628976043084,5.37882468239761
0,-1.96253010884819,8.3121577423415,-1.32586188598784,7.56330171675467
0,-1.83870769337993,10.0885468918588,-0.712190362810315,9.75544651583188
0,-0.434848600211372,9.47650016231374,0.382014327823486,8.85672896861697
1,0.496617943205039,5.60720853849084,0.686232605619494,6.14782190202322
0,0.461105477938824,5.93429288079581,0.727779640938022,6.18211408796232
1,1.1087120132094,7.94246441427604,-0.509484751686452,7.71399845557144
1,-5.39945954646779,-2.53049347991301,-5.73530341064936,-3.19842819843048
0,2.53146780308387,4.37405117088227,2.12488126958451,4.23759387014397
1,-2.65336669152904,1.98384584659091,-0.868224101602615,2.65643863693558
0,1.93346163251607,7.77290409097183,2.27535330454339,6.91364937102115
0,-5.47549487410933,3.47159003154343,-3.94379813830667,3.57899896185527
0,2.21438122725958,6.38720063434714,1.75620692894465,7.21038771567697
1,-1.1548147853326,1.96889843101189,0.508635720948954,0.109192206760792
0,3.76199941441271,10.6050077396459,1.98614649146566,9.81168368871393
0,1.78770754516818,9.44078151607988,0.08032717366252,8.72770956392022
1,-0.365583490391494,5.61069691468287,0.503329687569805,4.94094645529027
0,0.580743101732531,5.19113564562444,0.272374586707028,6.88086521354987
1,2.51157649449578,8.58525924042251,2.83970542938364,6.48846628467556
0,0.24374518766713,11.1130785652049,-0.392970338819994,10.7230039445497
0,-8.29960983953015,-2.97743428470437,-8.45933884215453,-3.5317438653674
0,-8.59004358105362,0.519035943961703,-6.14090532576362,1.74506475599053
1,-7.21562856915528,-2.9753803221204,-7.49353111605033,-3.29115110017411
0,0.858964572699362,7.47285333029121,0.599973669446941,7.35504390683371
0,2.08024372673309,7.13938180151703,0.561532790458701,7.34436984310869
0,0.32629261549986,8.71803966575703,0.0645393725835752,8.25915004035987
1,-3.31806265508438,-3.93477723169197,-4.2118057810705,-2.42823430044783
0,1.75775991980445,8.77600157595293,2.04891479717212,8.23261924970707
0,-0.517533275086997,10.431273534797,0.78027877084507,10.0817636963821
0,0.978446589703699,10.3036804319928,1.28952186372962,9.15832911890861
0,4.86029035412653,11.7399574595093,3.43456039392893,8.65238962272813
0,0.532183844012946,7.09233507204986,-0.220979416826027,8.17564103247257
0,-0.960411771373773,8.29400498655529,-0.396809231245281,6.46703729562324
0,2.0057945650101,10.880970591748,0.0302296707320153,10.5115342721815
0,-0.680398249040807,4.94251973371111,-1.45880717306585,3.9992443116646
0,-0.17992242540158,7.05869425645592,-0.523065826814519,6.75890228197256
0,-3.85298728353696,5.5828614469264,-0.919472968213386,5.20991612514335
0,1.43099551238206,3.9048584691842,0.388822263700642,5.02865778532998
1,0.422399592572993,5.14545713056434,-0.51575738590748,6.21727484161742
1,-2.57404228343411,5.91763532875234,-2.95644995576868,4.58492542994789
0,-5.4955526511442,-0.766797503349449,-5.91124622166937,0.195687992089233
1,-0.30484007101826,6.23565421286035,-1.2101658275984,5.68382569247818
0,-0.445428793165108,7.9080025659608,-0.928092066799631,9.27262089214554
0,-0.367953594154655,8.41362214415923,0.583206204733544,8.65484073128071
0,-4.4474732040627,9.11407653906773,-5.05320868032454,8.37524993420349
0,-3.34052589458769,-0.169201817672174,-3.98232820531261,1.49367868323674
0,7.07765471117971,4.43678769812565,5.64816500744593,6.91636715055293
0,-2.67365769535092,8.00027261287573,-2.88267884303089,7.54658185257877
1,4.07112524304766,7.09634545280031,2.14023504409382,9.09027309337721
1,2.62863784317464,9.13792372471744,0.554788654312206,8.16483980734075
1,1.55301235694782,3.75584844989244,0.438416466368444,2.72632639776567
1,0.371433311285665,5.12935691764272,0.421518810172581,6.24586219925044
0,-1.30902443346667,2.71482377941205,-1.85313743238224,4.14238980828949
1,-7.63965415804828,-3.33690166790488,-8.10947499181982,-3.12679119875625
0,-10.3867370143513,-4.03643729459174,-8.78810755818552,-3.35334381704072
0,3.09543994745315,8.60711117105541,1.01489167009201,8.69043887023335
0,3.07878418079172,7.99837306692455,3.03284264333596,9.30080930767355
0,-0.977334213258691,6.44888153385413,0.00299329132724213,6.43668586181646
0,-2.32285813183118,7.00021463988969,-2.23608014653882,5.71571692606386
1,3.0486614080288,8.80176636581994,3.30329055058659,9.46990717927011
1,3.38922521665877,6.42227529720678,2.72838655408134,7.19081310580522
0,-2.90221071656596,2.31557268524126,-1.99687068950631,1.70239431700221
0,-2.25849903094852,8.8979584372818,-3.27442556588258,7.11569599736394
0,-3.1672590109812,1.55072057961835,-2.76392061271492,1.45824398420643
0,-8.23487246124668,-0.452831260043394,-8.90988620251903,-0.382047580702285
1,6.00173157503503,6.39663334232076,4.31971628532634,5.76012684251311
0,-0.201392953274445,0.546185784840572,-0.71828939541256,-0.928486031210078
0,-9.24736812782589,-1.44008488282005,-8.27805195480728,-2.66925576905968
0,2.16140036673453,6.39887053879444,0.698345327067676,5.03850239337454
0,-0.16897015341725,5.06221930909453,0.163681254849385,4.79946178381122
1,0.220871798152808,5.68228800593707,-0.578417516104622,5.48801433803659
1,1.19880677684618,7.22376864179534,0.249514674328923,7.06281794674556
