"z","y0","y1","mu0","mu1"
1,-0.979511660577876,0.818765174407579,-0.455863243793555,-0.84908944169903
0,-2.30980443679738,-2.02383244097557,-1.27019771447979,-1.39631019308099
0,0.604795868595025,-1.63590453113302,-1.40529087845471,-1.28937673313138
0,-1.14821979127904,-0.246504305322506,-1.65566376217235,-0.616408543038983
0,-7.57078275920315,-3.98660558142864,-7.45704687478042,-3.63831860678038
1,-3.15512746215815,3.45683052171541,-2.03780619441857,1.52322983608265
1,-2.06570435301862,2.11165383630552,-1.75820056459892,0.958688133488196
0,-0.333515372187443,-1.26729012670599,-0.580048045548151,-0.629060883580975
0,-1.83786131432176,2.25467227681405,-1.70206215002825,1.94927639539506
0,-0.691052984331509,0.962567510979369,1.62498619673851,2.31161373609176
1,-2.47355589401264,-1.16896435181142,-2.07328957215839,-1.59588777577569
1,-0.0956296918205349,0.028796478801324,-0.0822323006835763,0.324048425006613
0,2.96607733242507,0.628406417300806,2.08931426067803,-1.19557429312356
0,-6.17370964687167,-0.700647128643594,-6.85109955929982,-0.785653636652299
0,-2.11682348108046,-3.32440260337196,-2.62590891529508,-1.81957520293089
0,2.90204783340496,3.69785827774239,2.18351174036858,2.71082222395492
1,-3.13129870547217,-2.27974621658779,-1.48206714546391,-1.8386370797444
1,-5.48397024283214,-4.45076026625053,-6.56279456479135,-5.28015684235044
0,-2.96307463254299,1.26856232455801,-3.29465046167808,-0.387430283532126
1,-1.18070015171159,-3.88460111239946,-2.2373105469529,-2.12721399581154
0,-1.16014107654905,0.346703885958239,-1.50537643187319,-1.21776980992047
0,-5.98034366985178,-4.68289801481561,-6.10869263280625,-3.78096040816807
0,-2.50560192356429,-2.5395790675891,-1.6743444402011,-3.61039745580753
0,-0.936313255097229,-0.0410292687012006,-2.09859314550623,-1.18322088348759
0,-1.77822766801779,-1.73780167153326,-0.661187651595041,-1.03215692636738
0,-7.10753628438609,-1.58552914593083,-7.39003778215061,-2.1840341705741
0,-1.68509179674838,-3.3215239714702,-2.28192055821611,-4.01105705151446
0,-4.70880419483212,-6.82016712619386,-5.55961528041784,-5.77053416120384
0,5.65111924169732,5.74892720934493,5.3756752984776,5.82772780399544
1,-1.81805211494634,1.15849216348882,-2.34789130897485,1.46263892202607
0,-3.31404280532662,-2.77760821158614,-2.07231202737633,-2.4077982647819
0,0.325289479791533,-1.48961538287473,0.532727807565717,-0.237557400087383
0,0.373440317894118,2.28433983288026,0.351298245033541,0.0653625382717548
0,-2.52409514508974,3.71614389858469,-0.781554439906836,4.33115952167881
0,-3.78481937295293,-7.94715300894098,-4.92272873136435,-7.11173750593355
0,-7.69692149217609,-4.28441618310468,-5.43142674425688,-3.4710842459946
0,3.129294754609,7.26910990359871,3.5477724201649,4.97781760549659
1,-2.26259817580481,2.07104359059983,-2.82753814187883,1.10202817689388
1,-3.01233682232946,-0.413806254498439,-4.12748371759098,0.0857180486737185
1,0.822958603850933,-0.643686076945149,0.475481337683586,0.6256453014116
1,-1.98587763659771,-0.675078423230411,0.335892830116836,0.254162351711931
1,-3.61485573269954,-2.34511684396947,-3.40881257520771,-3.2213321267598
0,0.457519917083633,-1.93541235797175,1.61102784947431,-0.442379497528189
0,-5.05051331304506,-2.92739623630532,-4.89733224519214,-3.20069182488172
0,-5.20123357223634,-2.17855963997045,-4.84887679337879,-1.42687951750078
